Title,First Director Name,First Director Gender,First Director Age When the Film Was Released,Second Director Name,Second Director Gender,Second Director Age When the Film Was Released,First Writer Name,First Writer Gender,First Writer Age When the Film Was Released,Second Writer Name,Second Writer Gender,Second Writer Age When the Film Was Released,Third Writer Name,Third Writer Gender,Third Writer Age When the Film Was Released,Fourth Writer Name,Fourth Writer Gender,Fourth Writer Age When the Film Was Released,Fifth Writer Name,Fifth Writer Gender,FIfth Writer Age When the Film Was Released,Sixth Writer Name,Sixth Writer Gender,Sixth Writer Age When Film Was Released
Lion,Garth Davis,Male,42,,,,Luke Davies,Male,54,,,,,,,,,,,,,,,
Manchester by the Sea,Kenneth Lonergan,Male,54,,,,Kenneth Lonergan,Male,54,,,,,,,,,,,,,,,
Me Before You,Thea Sharrock,Female,39,,,,Jojo Moyes,Female,46,,,,,,,,,,,,,,,
Moonlight,Barry Jenkins,Male,36,,,,Barry Jenkins,Male,36,Tarell Alvin McCraney,Male,36,,,,,,,,,,,,
Nocturnal Animals,Tom Ford,Male,55,,,,Tom Ford,Male,55,,,,,,,,,,,,,,,
Now You See Me 2,Jon M. Chu,Male,36,,,,Ed Solomon,Male,55,,,,,,,,,,,,,,,
Split,M. Night Shyamalan,Male,46,,,,M. Night Shyamalan,Male,46,,,,,,,,,,,,,,,
Suicide Squad,David Ayer,Male,48,,,,David Ayer,Male,48,,,,,,,,,,,,,,,
Sully,Clint Eastwood,Male,86,,,,Todd Komarnicki,Male,52,,,,,,,,,,,,,,,
The Accountant,Gavin O'Connor,Male,52,,,,Bill Dubuque,Male,?,,,,,,,,,,,,,,,
Zootopia,Byron Howard,Male,47,Rich Moore,Male,52,Jared Bush,Male,?,Phil Johnston,Male,?,,,,,,,,,,,,
Baby Driver,Edgar Wright,Male,43,,,,Edgar Wright,Male,43,,,,,,,,,,,,,,,
Baywatch,Seth Gordon,Male,40,,,,Damian Shannon,Male,?,Mark Swift,Male,?,,,,,,,,,,,,
Blade Runner 2049,Denis Villeneuve,Male,50,,,,Hampton Fancher,Male,79,Michael Green,Male,50,,,,,,,,,,,,
Despicable Me 3,Pierre Coffin,Male,50,Kyle Balda,Male,46,Cinco Paul,Male,?,Ken Daurio,Male,?,,,,,,,,,,,,
Get Out,Jordan Peele,Male,38,,,,Jordan Peele,Male,38,,,,,,,,,,,,,,,
Ghost in the Shell,Rupert Sanders,Male,46,,,,Jamie Moss,Male,?,William Wheeler,Male,?,Ehren Kruger,Male,?,,,,,,,,,
Happy Death Day,Christopher Landon,Male,42,,,,Scott Lobdell,Male,54,,,,,,,,,,,,,,,
John Wick: Chapter 2,Chad Stahelski,Male,48,,,,Derek Kolstad,Male,43,,,,,,,,,,,,,,,
Jumanji: Welcome to the Jungle,Jake Kasdan,Male,43,,,,Chris McKenna,Male,?,Erik Sommers,Male,?,Scott Rosenberg,Male,?,Jeff Pinkner,Male,?,,,,,,
Justice League,Zack Snyder,Male,51,,,,Chris Terrio,Male,40,Joss Whedon,Male,53,,,,,,,,,,,,
